strategy,tp,fp,tn,fn,support,positive_support,negative_support,precision,recall,specificity,npv,fpr,fnr,accuracy,balanced_accuracy,f1,f2,mcc,roc_auc,pr_auc,cwe_attribution_acc
logistic_regression_tau_0_9,650.8,640.4,42638.4,4281.6,48211.2,4932.4,43278.8,0.5035445986564026,0.1319328425652842,0.9852028584087069,0.9087489540387355,0.014797141591293136,0.8680671574347159,0.8979075619767241,0.5585678504869955,0.2088820974380222,0.154725142445382,0.21960808310233831,0.6496902564764586,0.28286608524392204,0.29320113915964086
logistic_interactions_tau_0_1,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.10230818275889138,1.0,0.0,,1.0,0.0,0.10230818275889138,0.5,0.1856253213467286,0.36299226289234265,,0.6499733011952351,0.27895307555255927,0.9600229513590854
logistic_interactions_tau_0_2,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.10230818275889138,1.0,0.0,,1.0,0.0,0.10230818275889138,0.5,0.1856253213467286,0.36299226289234265,,0.6499733011952351,0.27895307555255927,0.9599823916348915
logistic_interactions_tau_0_3,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.10230818275889138,1.0,0.0,,1.0,0.0,0.10230818275889138,0.5,0.1856253213467286,0.36299226289234265,,0.6499733011952351,0.27895307555255927,0.959941716426431
logistic_interactions_tau_0_4,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.10230818275889138,1.0,0.0,,1.0,0.0,0.10230818275889138,0.5,0.1856253213467286,0.36299226289234265,,0.6499733011952351,0.27895307555255927,0.7020098308962979
logistic_interactions_tau_0_5,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.10230818275889138,1.0,0.0,,1.0,0.0,0.10230818275889138,0.5,0.1856253213467286,0.36299226289234265,,0.6499733011952351,0.27895307555255927,0.2708261436041072
logistic_interactions_tau_0_6,1895.8,1999.0,41279.8,3036.6,48211.2,4932.4,43278.8,0.4867760076381494,0.3843539890165048,0.9538109995747066,0.9314790726292758,0.04618900042529351,0.6156460109834951,0.8955511800147358,0.6690824942956056,0.42953637802314565,0.4012348967819356,0.3760812644256831,0.6499733011952351,0.27895307555255927,0.5181231286697541
logistic_interactions_tau_0_7,1876.8,1980.6,41298.2,3055.6,48211.2,4932.4,43278.8,0.4865437619642254,0.38049977945157337,0.9542361070748457,0.9311088714019732,0.04576389292515419,0.6195002205484267,0.8955387293873827,0.6673679432632096,0.4270217986780177,0.39783420391619334,0.37389718962162777,0.6499733011952351,0.27895307555255927,0.5219541747290534
logistic_interactions_tau_0_8,1861.2,1965.4,41313.4,3071.2,48211.2,4932.4,43278.8,0.4864331717494963,0.3773395377710714,0.954587337919568,0.9308047345564325,0.04541266208043211,0.6226604622289287,0.8955304345907189,0.6659634378453196,0.4249861977751018,0.3950541272916631,0.37214168452943797,0.6499733011952351,0.27895307555255927,0.5252526825034417
logistic_interactions_tau_0_9,653.4,633.0,42645.8,4279.0,48211.2,4932.4,43278.8,0.507248073747675,0.13246081750455804,0.9853738318015832,0.9088136093065262,0.014626168198416736,0.8675391824954419,0.8981149929854848,0.5589173246530706,0.20988930538519907,0.15538325594387023,0.22128494273137692,0.6499733011952351,0.27895307555255927,0.27242374599780633
decision_tree_tau_0_1,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.10230818275889138,1.0,0.0,,1.0,0.0,0.10230818275889138,0.5,0.1856253213467286,0.36299226289234265,,0.6486910661078212,0.27706749055298285,0.9596579285030419
decision_tree_tau_0_2,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.10230818275889138,1.0,0.0,,1.0,0.0,0.10230818275889138,0.5,0.1856253213467286,0.36299226289234265,,0.6486910661078212,0.27706749055298285,0.9596579285030419
